Year,State,Coal_Consumption_Mt,CO2_Emissions_MtCO2e,Carbon_Credits_Earned,Mitigation_Strategies,Carbon_Sinks_MtCO2e,Excavation,Transportation,Fuel,Equipment,Workers,FuelType,Reduction,Output
2018,Maharashtra,192.58,150.55,24176,Afforestation,15.66,4293.33,67.21,8320.96,405.51,2407,Gas,6.53,1637.78
2018,Telangana,218.92,323.86,162672,None,18.64,2393.97,198.95,7831.06,198.51,1027,Gas,7.84,1560.81
2024,Odisha,260.62,358.49,130096,None,37.6,4647.72,111.32,511.14,363.52,3608,Coal,4.4,4479.67
2024,Madhya Pradesh,115.94,180.33,62920,Coal Gasification,41.2,3631.64,140.96,2431.79,260.76,3225,Coal,24.68,1432.94
2019,Odisha,51.01,127.78,43917,Carbon Capture,48.24,556.7,102.49,7959.01,132.53,2487,Coal,19.7,1781.65
2015,Chhattisgarh,50.71,383.62,53177,Renewable Energy,40.95,1290.38,78.29,5206.97,79.9,3265,Gas,8.44,4706.04
2020,Chhattisgarh,61.44,224.85,169011,Coal Gasification,19.46,2596.86,10.64,8000.06,175.12,2312,Gas,3.57,4678.03
2017,Chhattisgarh,103.61,198.3,56940,Coal Gasification,43.58,2987.07,54.53,485.58,63.9,1538,Diesel,28.83,236.57
2023,West Bengal,100.27,514.82,116814,Energy Efficiency,34.99,2738.57,19.9,894.83,197.7,4537,Gas,17.84,423.97
2019,Chhattisgarh,213.65,560.88,173830,Coal Gasification,25.36,1501.1,103.56,4064.02,332.95,2079,Gas,24.85,380.84
2016,Odisha,159.66,389.04,72662,Afforestation,27.58,2125.85,164.88,692.51,210.83,3410,Diesel,4.17,4103.56
2018,West Bengal,214.32,462.49,49813,None,18.41,553.12,68.4,283.53,378.7,3219,Gas,20.82,4275.37
2018,Odisha,268.78,559.73,46259,None,30.06,4107.67,123.86,670.7,173.32,597,Coal,20.04,4892.83
2020,Odisha,82.81,542.59,46504,Energy Efficiency,28.75,2813.37,122.08,3432.1,68.25,3735,Coal,16.25,2688.0
2024,Telangana,79.12,294.31,189272,None,48.06,591.82,61.54,4103.88,266.9,1554,Gas,7.23,2846.27
2024,Maharashtra,197.33,208.04,35975,Renewable Energy,32.52,809.17,46.01,7233.84,113.06,1596,Gas,3.0,1558.85
2021,Chhattisgarh,222.78,339.88,72191,Energy Efficiency,39.2,2523.29,55.18,2276.01,150.31,845,Coal,20.34,1886.51
2019,Chhattisgarh,251.61,132.39,77523,Energy Efficiency,45.03,695.73,19.81,7544.35,57.56,3775,Coal,2.15,3723.35
2015,Maharashtra,62.3,572.38,33658,Renewable Energy,16.09,2015.61,190.27,425.92,248.01,1755,Diesel,22.91,1674.72
2021,Madhya Pradesh,249.46,119.02,148602,Afforestation,9.22,4284.55,75.46,3312.04,236.91,1540,Diesel,26.32,2076.82
2023,Madhya Pradesh,251.0,174.47,22455,Coal Gasification,38.78,1847.44,171.2,5862.86,291.45,4135,Coal,25.37,3117.9
2019,Jharkhand,192.2,355.69,142180,Coal Gasification,25.18,2949.89,105.67,3783.43,403.87,4719,Coal,0.01,419.38
2018,West Bengal,70.29,122.48,157523,Renewable Energy,43.9,2423.01,178.43,8012.43,400.17,4013,Diesel,17.69,2318.34
2015,West Bengal,273.49,281.96,122761,Energy Efficiency,37.66,1801.79,132.58,8993.76,386.69,2320,Coal,13.28,4232.92
2016,Jharkhand,280.61,486.34,50232,Carbon Capture,8.81,4893.85,76.65,1021.1,481.29,1406,Gas,1.47,3477.97
2020,Madhya Pradesh,161.64,389.19,131666,Energy Efficiency,25.37,3089.32,71.76,427.64,443.88,3319,Gas,12.33,1249.63
2015,Telangana,153.15,410.18,23554,Afforestation,21.37,521.67,22.6,2143.31,78.71,1484,Gas,20.97,2852.04
2015,Odisha,113.79,539.15,123013,Energy Efficiency,34.46,1986.95,38.97,9806.42,482.98,3608,Diesel,24.4,459.43
2023,Madhya Pradesh,251.6,127.94,71810,None,26.28,3300.4,21.79,4178.35,456.4,749,Coal,5.68,962.6
2019,Chhattisgarh,103.36,371.51,129175,Carbon Capture,38.2,4111.4,113.68,4104.49,62.75,3378,Coal,0.83,1179.76
2024,Telangana,236.2,197.34,137385,Afforestation,11.8,2732.54,140.49,7285.99,207.2,2162,Coal,16.23,1292.36
2017,Jharkhand,204.47,192.96,42533,Carbon Capture,44.55,3756.84,97.54,1590.9,400.35,422,Gas,5.12,4092.93
2022,Odisha,226.53,584.64,84970,None,43.74,1814.02,68.82,307.69,66.16,3140,Coal,7.13,4459.6
2020,Telangana,202.89,572.59,173608,Afforestation,23.4,648.52,75.59,1799.41,191.54,1369,Gas,14.56,4949.99
2019,Telangana,261.18,394.08,191232,Coal Gasification,13.32,1264.42,62.09,4809.71,441.09,1632,Gas,9.54,743.8
2022,Madhya Pradesh,83.84,282.75,31452,Energy Efficiency,14.03,4762.47,73.83,1408.94,349.65,3844,Diesel,7.31,3837.58
2015,Chhattisgarh,233.03,527.35,108108,Afforestation,22.55,4750.2,132.44,9495.57,408.6,3969,Coal,15.78,2548.75
2021,Odisha,192.73,580.27,71230,Energy Efficiency,45.68,1517.01,83.92,7981.24,125.38,4224,Diesel,19.98,1802.69
2017,Jharkhand,121.37,104.26,36386,Afforestation,24.44,2292.44,48.16,5450.99,408.58,808,Gas,27.03,2824.14
2019,Odisha,51.54,186.26,111409,Carbon Capture,26.0,4252.29,191.97,1940.26,217.87,3269,Gas,18.75,4187.58
2018,Odisha,215.18,519.66,178169,None,26.93,2570.75,150.39,4370.51,468.44,1730,Coal,27.32,3979.79
2021,West Bengal,259.08,315.8,137126,Energy Efficiency,36.82,3350.97,142.3,302.23,187.11,531,Coal,18.77,4314.54
2018,Telangana,264.64,224.97,197373,Energy Efficiency,33.62,1310.13,191.22,4005.47,340.98,4963,Diesel,21.32,640.14
2019,Madhya Pradesh,66.94,334.55,47789,Coal Gasification,23.35,4040.37,74.71,4065.85,413.47,604,Coal,17.55,3431.45
2016,Maharashtra,196.51,452.78,74322,Carbon Capture,17.31,4891.05,115.35,7943.46,431.71,1720,Diesel,24.04,4599.27
2023,Chhattisgarh,146.82,136.37,175819,Energy Efficiency,49.74,3655.6,65.06,1595.92,433.46,1173,Diesel,6.47,608.74
2021,Telangana,179.21,448.88,172739,Afforestation,9.41,2684.22,181.87,7670.52,153.8,4082,Diesel,2.78,2504.1
2024,Madhya Pradesh,107.97,353.35,160657,Carbon Capture,20.33,1706.62,60.61,6946.88,140.0,1584,Gas,18.36,108.34
2017,Madhya Pradesh,202.48,298.16,79376,None,29.58,3669.82,58.48,1058.43,251.58,108,Gas,9.83,3005.09
2015,Odisha,296.17,342.32,98791,Energy Efficiency,26.74,1464.22,31.56,7285.19,206.73,146,Diesel,6.2,4572.01
2018,Madhya Pradesh,67.43,184.32,176993,None,34.9,1403.98,59.04,6030.08,244.08,2675,Coal,3.4,1201.09
2019,Maharashtra,144.37,181.86,150109,Renewable Energy,14.32,2688.36,192.53,4351.93,97.92,3991,Gas,27.61,2898.04
2022,Odisha,260.1,407.9,131422,Energy Efficiency,35.34,3357.37,169.91,4730.85,391.88,839,Gas,4.31,4098.33
2020,Chhattisgarh,268.23,503.5,186381,Afforestation,6.0,4287.01,128.94,3668.49,66.55,461,Diesel,19.43,3204.95
2023,West Bengal,132.13,172.6,84931,Renewable Energy,7.29,3954.1,184.08,6615.87,365.24,3498,Diesel,29.39,842.3
2018,Maharashtra,278.11,257.12,147000,Coal Gasification,27.42,995.85,109.35,6377.15,160.43,2833,Coal,25.25,3837.46
2021,Chhattisgarh,64.47,140.09,37712,Afforestation,40.4,816.25,24.66,9199.35,270.83,2171,Diesel,16.8,2041.82
2023,Madhya Pradesh,161.81,401.99,138261,Afforestation,16.45,1971.6,115.62,2124.73,89.41,3363,Diesel,20.64,3794.6
2020,Odisha,255.22,439.29,22257,None,45.76,3602.55,136.67,1549.33,445.45,1878,Gas,5.02,1030.98
2020,Telangana,255.13,261.29,175302,Afforestation,30.04,2230.48,72.6,1893.36,479.95,3660,Coal,17.38,2491.02
2015,Odisha,84.09,248.84,159335,Coal Gasification,12.93,3072.72,15.86,7535.88,146.99,3757,Coal,6.65,4352.88
2021,Chhattisgarh,293.58,357.13,47092,Coal Gasification,17.9,1616.2,173.34,1380.11,200.21,2169,Gas,6.31,1468.95
2023,Madhya Pradesh,281.21,327.78,84920,Renewable Energy,25.28,4641.61,83.65,1085.32,182.76,2927,Diesel,22.33,4898.06
2015,Telangana,266.01,518.68,134670,None,30.32,3720.08,194.56,2441.93,427.02,3643,Gas,5.91,4233.85
2016,Chhattisgarh,153.04,194.87,29204,Carbon Capture,10.4,2284.77,163.8,5727.31,411.99,3265,Coal,6.07,1670.1
2019,Odisha,281.97,338.96,168652,Carbon Capture,10.19,3365.94,164.3,7140.65,220.14,1179,Coal,8.78,3341.79
2021,Chhattisgarh,262.18,208.81,123714,Energy Efficiency,20.14,2994.26,93.99,3809.5,83.98,3822,Gas,3.86,2693.13
2018,West Bengal,154.97,467.64,156796,Carbon Capture,48.89,3520.95,117.76,4613.02,232.12,2080,Diesel,1.22,3794.91
2017,Odisha,101.11,592.11,154557,Renewable Energy,38.73,2732.69,14.11,5155.96,363.66,1425,Coal,15.82,1116.78
2019,Chhattisgarh,289.25,387.57,108015,Energy Efficiency,5.39,4412.0,86.98,7343.75,194.29,1840,Gas,4.26,947.48
2015,Telangana,277.64,162.01,88113,None,41.24,1325.5,128.0,7126.74,350.24,3336,Gas,24.29,3524.72
2017,Jharkhand,74.58,560.49,13430,None,16.27,4097.73,160.37,1666.95,465.32,1117,Diesel,26.88,2790.7
2016,West Bengal,197.32,309.22,133742,Afforestation,47.9,3134.68,101.56,6497.89,220.73,4381,Coal,29.83,2543.35
2023,Maharashtra,175.34,501.12,179699,None,24.51,731.49,177.69,9875.0,56.98,1768,Coal,8.21,801.36
2022,Maharashtra,88.6,343.32,18363,Afforestation,7.39,3746.46,129.18,7343.38,428.34,4738,Diesel,22.46,3742.36
2022,Jharkhand,234.77,247.41,13592,Coal Gasification,29.43,2052.5,31.65,5380.41,465.75,4426,Diesel,21.66,3809.64
2016,Odisha,121.45,343.1,66023,Renewable Energy,48.0,3297.24,50.3,3035.78,285.27,4093,Gas,20.4,1678.14
2020,Odisha,163.63,173.46,29430,Afforestation,38.91,2574.47,85.49,7422.86,347.69,2705,Diesel,23.25,1794.58
2019,Maharashtra,238.48,516.21,53284,Coal Gasification,34.31,2630.01,92.02,8806.9,134.89,2937,Diesel,18.23,257.78
2024,Maharashtra,99.98,114.08,136841,Coal Gasification,18.42,3504.6,52.87,9347.66,235.0,2397,Gas,25.25,4521.14
2018,Maharashtra,110.44,341.8,155891,Energy Efficiency,40.29,3824.85,144.4,5125.08,426.53,1902,Diesel,1.2,2256.31
2024,Maharashtra,221.19,273.08,148285,Energy Efficiency,15.07,833.35,17.0,1074.46,320.56,1900,Coal,20.19,2680.91
2019,Maharashtra,209.59,193.93,28253,Carbon Capture,17.04,4380.48,45.26,1974.76,168.81,3863,Gas,25.23,4431.14
2018,Madhya Pradesh,86.4,359.94,95222,Coal Gasification,26.93,1324.83,101.01,2178.44,134.35,3551,Gas,8.04,1045.92
2022,Odisha,91.64,448.84,78174,Afforestation,10.26,1064.61,55.9,3517.24,54.36,1378,Coal,11.22,385.06
2024,Maharashtra,221.43,116.84,118678,Afforestation,32.98,2798.16,49.11,3269.35,336.29,827,Diesel,12.59,847.15
2019,Odisha,296.75,176.89,18867,None,46.22,2802.97,129.73,2989.5,107.5,3681,Gas,14.3,1039.06
2019,West Bengal,186.04,348.78,28981,None,35.37,3626.49,197.06,2992.05,412.61,1278,Coal,18.86,4899.7
2023,Madhya Pradesh,268.72,451.75,62808,Carbon Capture,29.06,4519.46,160.69,4855.48,113.41,1264,Gas,3.37,1945.81
2020,Jharkhand,230.88,236.92,49256,Renewable Energy,31.19,940.43,150.82,2475.96,375.93,3187,Diesel,22.05,4929.72
2020,Madhya Pradesh,187.65,543.76,74259,None,39.92,1275.89,128.31,5392.41,441.32,4005,Diesel,8.7,4323.99
2017,Jharkhand,50.78,238.6,92775,Energy Efficiency,43.53,4790.3,54.76,1131.84,213.32,1046,Diesel,8.03,1866.61
2015,Jharkhand,252.64,498.42,12730,Renewable Energy,18.13,4362.28,137.16,3928.9,346.61,570,Coal,13.21,4046.53
2015,Telangana,157.98,345.5,104090,None,19.85,1518.54,125.03,2388.17,474.09,3069,Coal,11.9,1869.8
2022,Madhya Pradesh,224.21,482.77,128921,Energy Efficiency,29.84,4418.65,43.27,4524.25,57.81,1069,Gas,6.34,3672.24
2024,Maharashtra,108.31,545.65,159845,Coal Gasification,41.54,936.69,30.05,5209.69,488.82,2615,Gas,2.69,4758.18
2018,Madhya Pradesh,190.75,534.9,97468,Energy Efficiency,18.3,2329.8,92.09,8671.46,102.33,197,Diesel,26.97,578.99
2022,West Bengal,62.54,415.0,95008,None,44.51,2507.83,144.77,7398.99,379.2,1543,Gas,20.74,3670.85
2020,West Bengal,110.49,211.81,192427,Energy Efficiency,34.45,4180.05,33.71,6389.45,448.93,1802,Coal,4.4,3858.07
2021,Chhattisgarh,160.16,451.08,21694,None,45.0,4298.09,151.28,8878.21,233.37,3907,Coal,19.71,112.05
2017,Madhya Pradesh,200.91,550.6,184312,Energy Efficiency,49.77,2123.58,81.46,8460.28,107.49,1753,Diesel,23.45,2318.95
2023,West Bengal,264.85,484.5,174013,Renewable Energy,26.08,1511.57,71.59,2505.3,234.35,808,Diesel,1.36,3193.28
2021,West Bengal,94.57,102.46,79156,Carbon Capture,13.41,4001.05,34.68,9091.43,410.23,2319,Coal,24.1,437.91
2021,Chhattisgarh,173.96,585.96,149120,Afforestation,6.67,3463.41,38.95,9837.38,409.31,1898,Coal,15.04,269.43
2015,Maharashtra,54.06,551.24,138253,Carbon Capture,17.01,1968.08,87.28,4322.34,100.4,3307,Gas,9.99,3521.14
2022,Jharkhand,244.97,467.26,108175,Afforestation,34.15,4890.65,53.71,5125.11,93.1,1177,Coal,25.1,4432.89
2016,Chhattisgarh,221.6,117.44,146017,Afforestation,12.95,2193.24,93.16,107.63,152.18,3632,Diesel,7.1,1416.3
2015,Odisha,51.97,294.37,176994,Carbon Capture,33.54,4364.02,171.1,6853.36,463.53,399,Coal,2.84,1177.28
2016,Odisha,295.66,249.45,12724,Renewable Energy,6.24,2937.99,169.29,6032.3,341.1,2757,Coal,10.69,572.3
2023,Odisha,222.14,159.16,110289,None,30.84,1025.67,166.78,7376.05,104.64,4342,Coal,26.25,2764.93
2015,Madhya Pradesh,178.79,392.75,74128,None,21.8,3028.38,39.86,3054.96,155.95,4976,Coal,9.88,2217.37
2024,Jharkhand,88.7,221.66,169976,None,43.31,707.71,169.02,7605.95,248.5,3864,Coal,19.56,1465.9
2015,Chhattisgarh,185.15,249.61,84864,Energy Efficiency,22.03,2954.42,59.47,5437.98,496.87,435,Gas,17.37,2669.2
2019,Jharkhand,171.41,179.03,66953,Carbon Capture,40.19,628.4,18.6,8299.55,255.1,3130,Diesel,20.3,2449.15
2018,Madhya Pradesh,104.18,531.4,162732,Energy Efficiency,6.5,1565.07,160.29,6357.05,437.55,2667,Gas,1.94,3666.09
2018,Telangana,187.83,224.43,126523,Coal Gasification,46.61,755.72,96.46,718.64,440.33,3736,Gas,22.84,1723.18
2015,Jharkhand,124.63,132.94,73051,Energy Efficiency,48.86,3431.4,81.65,5508.6,314.18,1391,Diesel,11.41,4039.83
2019,Madhya Pradesh,163.27,474.21,14702,None,36.64,1148.11,34.57,4168.29,346.52,2809,Gas,10.66,4623.8
2023,Telangana,246.74,167.5,68627,Energy Efficiency,49.7,4875.12,18.13,7225.11,465.09,2389,Diesel,22.14,683.63
2020,Chhattisgarh,204.97,277.55,157519,Carbon Capture,9.3,1941.65,111.86,3879.88,310.24,3934,Coal,2.13,1167.45
2024,Madhya Pradesh,134.43,225.05,194232,Renewable Energy,22.37,2080.09,199.48,6822.08,368.08,662,Gas,9.54,3980.96
2018,Jharkhand,293.87,225.44,108245,None,16.16,2415.38,170.33,7999.33,448.14,1972,Gas,4.93,2802.02
2016,West Bengal,93.26,478.12,123816,Energy Efficiency,28.62,3237.92,79.01,2718.19,370.64,4283,Coal,21.1,4643.59
2015,Maharashtra,121.41,181.19,172784,Carbon Capture,46.18,3543.84,155.58,2738.01,183.71,2173,Coal,5.23,313.63
2015,Maharashtra,175.7,133.04,81049,Energy Efficiency,12.2,1874.68,60.31,4618.36,408.0,4813,Gas,0.82,100.77
2017,West Bengal,74.39,589.35,73446,None,6.77,3716.12,85.67,1166.79,281.55,547,Coal,10.24,3933.42
2021,Telangana,139.73,491.91,164747,Renewable Energy,22.06,3268.81,137.46,8885.73,50.26,2878,Diesel,3.09,238.43
2019,Jharkhand,191.93,301.57,76898,Energy Efficiency,37.11,3728.85,115.12,4974.7,150.78,3708,Coal,25.18,398.01
2023,Madhya Pradesh,69.87,570.69,135371,Coal Gasification,8.26,1090.85,67.9,445.64,196.59,3435,Coal,15.8,4895.25
2015,West Bengal,178.32,151.33,25768,None,48.65,4464.49,115.97,361.8,113.42,4798,Diesel,1.56,2120.73
2021,Maharashtra,183.67,317.47,135986,Renewable Energy,19.42,942.06,126.64,2701.18,57.9,1486,Coal,17.7,4326.29
2016,Telangana,242.29,464.66,137807,Renewable Energy,28.24,3226.59,103.2,3217.4,176.82,2044,Gas,14.88,4551.29
2024,West Bengal,121.79,368.44,127868,Energy Efficiency,34.71,4639.39,65.98,641.36,162.73,186,Coal,18.26,4982.77
2018,Telangana,90.76,329.5,123693,Energy Efficiency,28.04,1049.04,13.91,6789.71,100.73,4487,Coal,7.55,4688.28
2023,Jharkhand,279.67,253.92,182756,Energy Efficiency,49.57,1780.15,77.34,9177.22,386.89,202,Coal,4.92,1815.27
2016,Telangana,194.66,483.31,125205,Energy Efficiency,7.89,4039.83,57.14,1003.32,386.96,819,Coal,9.45,441.51
2017,Maharashtra,226.16,170.8,164020,Afforestation,33.66,1091.76,144.03,5891.54,241.6,4455,Gas,12.18,2901.7
2021,Jharkhand,227.56,300.24,102232,Carbon Capture,18.16,1940.97,60.44,967.72,147.12,781,Gas,1.93,800.43
2018,Madhya Pradesh,54.54,519.53,33043,None,27.17,2263.22,77.95,8455.37,137.2,2647,Diesel,24.31,902.77
2016,Maharashtra,108.19,233.47,130896,Carbon Capture,29.57,3196.76,93.09,9493.4,273.85,3548,Gas,22.79,2434.36
2019,Madhya Pradesh,108.23,355.68,119180,Carbon Capture,34.41,2758.23,133.4,4549.59,311.74,4366,Coal,18.28,1802.55
2016,Maharashtra,186.53,331.21,110214,Coal Gasification,38.57,2044.34,145.59,5043.42,168.23,3178,Coal,16.07,1906.37
2020,Telangana,84.1,331.04,73852,Renewable Energy,17.82,2733.45,76.54,2174.51,401.66,3666,Gas,3.02,2590.43
2023,Jharkhand,226.95,215.76,196629,Afforestation,38.52,4608.51,128.77,8341.57,484.72,1915,Coal,26.29,811.17
2016,Jharkhand,262.86,239.39,129678,None,17.4,2182.25,113.14,5498.09,99.75,1131,Coal,17.41,3985.13
2023,Madhya Pradesh,211.15,432.52,177358,None,11.15,2551.09,38.17,8341.9,190.72,1932,Diesel,25.84,4579.25
2024,Odisha,203.64,472.38,47223,Carbon Capture,24.72,1079.79,146.11,7369.3,416.89,108,Diesel,19.98,4042.8
2016,Telangana,203.46,586.65,130033,Afforestation,46.77,2460.83,130.8,7865.85,437.27,2720,Diesel,5.84,4101.68
2022,Odisha,228.78,261.36,169213,Coal Gasification,38.91,912.02,27.5,1030.39,424.49,1346,Diesel,10.72,1315.23
2024,Madhya Pradesh,79.36,535.64,13363,Afforestation,25.47,1882.24,156.82,8154.39,129.72,2619,Coal,21.1,4946.46
2021,Odisha,236.98,140.09,18918,None,43.6,4420.18,21.33,5409.45,160.09,153,Gas,12.34,4794.46
2016,Odisha,162.45,455.35,68605,Afforestation,32.03,4671.01,147.13,4547.07,129.62,4805,Gas,17.39,2533.63
2021,West Bengal,238.6,168.76,56905,None,27.73,3268.45,75.82,9212.91,299.76,1339,Gas,12.37,2866.69
2017,Madhya Pradesh,73.79,596.37,64577,Carbon Capture,42.36,1701.84,188.36,2144.05,132.82,672,Diesel,1.29,2828.59
2015,Maharashtra,279.18,583.87,111377,Carbon Capture,48.08,2907.95,92.94,1528.21,158.59,4421,Coal,11.82,2513.57
2019,Odisha,261.34,409.35,148146,None,18.23,2924.98,195.71,7000.59,268.01,4571,Coal,28.92,1215.97
2021,Madhya Pradesh,186.16,327.07,94430,None,45.49,2366.29,77.43,3987.57,241.53,3931,Coal,26.75,4755.06
2016,Chhattisgarh,262.79,316.31,43298,Energy Efficiency,44.61,3686.88,54.56,9032.47,211.03,702,Diesel,14.02,313.73
2024,Jharkhand,99.23,136.28,191062,Carbon Capture,12.08,2922.96,103.22,1926.3,76.64,1224,Gas,28.9,668.23
2022,Madhya Pradesh,282.14,314.44,161553,Afforestation,28.32,4288.21,48.91,3515.05,99.48,3134,Gas,1.85,1368.26
2023,Chhattisgarh,100.97,232.15,20998,Carbon Capture,31.93,2541.65,38.85,4191.52,467.14,152,Diesel,27.09,4037.92
2019,West Bengal,263.85,102.83,30519,Renewable Energy,21.3,3957.1,24.18,9107.46,109.12,363,Diesel,23.51,1163.8
2021,Telangana,88.16,180.37,104416,Coal Gasification,43.34,4811.83,60.51,1389.5,107.11,195,Gas,3.83,1712.17
2023,Maharashtra,145.47,321.95,132686,Coal Gasification,41.9,1939.68,104.27,3341.45,167.68,3108,Diesel,26.07,2278.15
2017,Telangana,53.0,464.58,189569,Afforestation,39.88,1070.52,13.44,9252.66,433.09,1299,Diesel,9.68,3397.32
2023,Odisha,154.91,570.8,76093,Carbon Capture,35.13,3552.73,144.54,2763.96,161.55,558,Coal,21.4,1474.73
2017,Maharashtra,108.26,137.61,169222,Carbon Capture,30.99,2916.08,158.18,8704.25,63.87,3219,Coal,25.52,779.05
2016,Maharashtra,89.07,514.71,75426,Renewable Energy,7.97,3681.61,88.17,1990.92,174.05,2246,Diesel,4.92,2411.44
2022,West Bengal,288.38,292.32,157750,None,25.2,1921.22,174.63,2107.23,65.8,1146,Coal,10.91,939.71
2021,Telangana,136.08,559.6,12270,Renewable Energy,42.92,2867.47,73.24,2645.65,101.61,3043,Coal,21.66,2318.43
2019,West Bengal,161.81,378.83,136325,Coal Gasification,26.97,1489.23,70.3,6885.48,322.05,2814,Coal,12.14,2910.5
2015,Maharashtra,299.48,282.83,12924,Renewable Energy,35.79,2919.84,145.15,1926.49,217.58,3729,Gas,21.78,4618.45
2022,Maharashtra,262.29,274.57,27905,Energy Efficiency,20.61,4132.19,133.81,1410.27,132.77,2704,Gas,8.71,3269.62
2015,Odisha,200.16,582.93,86350,Carbon Capture,38.91,1638.48,65.79,5952.21,318.11,378,Coal,12.37,2927.87
2024,Jharkhand,253.83,155.03,142732,Afforestation,39.69,2202.14,25.65,8003.94,83.18,2281,Diesel,11.33,528.24
2023,Jharkhand,197.43,256.76,171456,Coal Gasification,20.93,4466.01,109.84,1729.66,421.36,1373,Coal,8.73,4573.12
2015,West Bengal,262.32,147.18,74683,Renewable Energy,6.71,4785.84,118.12,7096.08,298.67,1979,Gas,1.43,1160.18
2022,Madhya Pradesh,77.63,183.81,11903,None,37.49,3923.37,178.36,8175.19,258.59,591,Gas,10.7,3047.75
2020,West Bengal,251.92,265.64,115040,None,47.44,864.95,111.29,7003.55,177.54,2767,Coal,4.05,1201.98
2020,Maharashtra,195.63,110.5,175517,Afforestation,34.07,2336.8,81.01,1315.03,324.23,705,Gas,29.21,2682.17
2018,Odisha,60.49,435.25,35449,Afforestation,45.12,1866.28,76.08,518.5,404.16,2177,Gas,10.53,851.59
2015,Jharkhand,113.05,302.2,169233,None,46.74,3258.12,71.47,1721.5,363.19,459,Coal,15.65,2529.45
2021,Chhattisgarh,161.8,442.4,148826,None,47.44,1990.59,151.01,4516.2,82.45,2280,Coal,4.06,1216.04
2016,West Bengal,152.61,259.26,178029,Energy Efficiency,7.79,4803.99,43.57,2451.56,89.56,340,Diesel,21.62,3616.22
2021,Telangana,296.37,511.04,141234,Energy Efficiency,25.4,3606.46,38.01,3687.39,206.25,4131,Diesel,12.03,2123.25
2020,Telangana,113.27,540.45,46180,Energy Efficiency,32.71,1272.63,85.88,6001.37,70.5,3659,Coal,25.4,877.09
2024,Madhya Pradesh,106.04,515.19,169782,None,45.82,1824.03,11.82,3082.84,260.85,3834,Diesel,27.23,4839.08
2017,Odisha,249.03,105.28,152642,Energy Efficiency,42.09,3014.72,47.65,8632.62,311.98,1456,Gas,23.77,3861.4
2016,Telangana,240.99,385.62,180273,Energy Efficiency,19.63,1138.15,49.64,5722.0,255.88,4135,Coal,26.77,1555.2
2021,West Bengal,51.03,210.14,167511,Carbon Capture,18.05,4204.17,147.24,1754.67,358.8,3105,Diesel,8.07,3978.72
2020,Chhattisgarh,101.58,363.21,110568,Coal Gasification,24.15,958.62,154.3,2866.14,282.24,3580,Coal,26.07,2543.65
2019,Chhattisgarh,202.8,196.08,46947,None,10.62,3046.18,44.12,1976.25,437.35,2438,Coal,15.68,3544.29
2022,Maharashtra,283.74,446.05,174040,Renewable Energy,40.39,2440.15,144.55,5981.01,321.44,1019,Coal,16.69,1409.96
2022,West Bengal,273.0,351.68,55378,Afforestation,24.85,2794.87,156.87,1926.0,264.39,1809,Coal,20.91,268.66
2019,Jharkhand,235.76,229.26,131892,None,47.94,2606.45,94.57,4727.67,440.47,535,Gas,21.9,2161.44
2020,Telangana,126.85,501.6,40321,None,26.87,1865.64,105.12,6557.61,369.93,4854,Coal,10.84,4339.57
2018,Telangana,153.98,100.68,157936,None,39.49,2855.2,44.23,2166.24,290.05,990,Diesel,17.48,2691.56
2020,West Bengal,233.17,111.79,140472,None,12.12,4170.57,120.59,8655.73,115.77,4019,Coal,28.77,830.91
2017,Maharashtra,286.61,382.07,171493,None,22.29,1166.75,79.56,9832.69,154.63,2982,Diesel,20.58,2738.95
2015,Telangana,152.69,340.46,135108,Energy Efficiency,27.52,591.29,35.71,3665.35,216.59,1750,Diesel,19.6,4386.89
2022,Jharkhand,199.92,335.41,92377,Renewable Energy,23.46,618.19,187.1,6758.25,382.19,3302,Gas,13.61,866.33
2017,Odisha,271.62,176.66,27654,Carbon Capture,27.76,4471.08,123.02,9020.94,199.55,4271,Diesel,14.45,2942.74
2019,Madhya Pradesh,118.68,304.91,83588,Renewable Energy,29.67,1181.97,165.56,7753.11,103.5,1109,Coal,23.62,4565.43
2018,Telangana,251.04,275.1,35802,Energy Efficiency,46.99,3632.85,198.33,2623.41,366.74,2106,Coal,25.81,4337.88
2015,Jharkhand,274.32,237.65,45522,Afforestation,25.99,1511.31,161.67,3916.0,478.14,2981,Coal,7.6,2412.08
2021,Madhya Pradesh,246.87,403.6,87450,Afforestation,22.52,4865.76,120.25,4396.5,231.7,2201,Diesel,12.39,4872.81
2020,Madhya Pradesh,257.48,136.08,140129,Carbon Capture,40.15,1578.81,55.18,8440.2,180.07,3621,Coal,22.47,894.08
2023,West Bengal,177.05,330.66,170021,Energy Efficiency,24.28,2852.86,158.61,5433.2,231.17,243,Diesel,13.41,4260.55
2019,Madhya Pradesh,166.93,246.27,63419,Coal Gasification,33.89,2479.21,151.47,2942.73,147.23,2945,Diesel,13.79,2197.0
2016,West Bengal,253.41,436.95,197629,Coal Gasification,39.88,2081.79,136.98,3843.25,233.91,1521,Gas,9.99,3176.79
2017,Maharashtra,104.03,393.03,13724,None,27.45,3500.18,107.99,2891.94,177.19,3817,Gas,26.3,4271.03
2019,Telangana,206.08,354.6,192097,Afforestation,19.6,744.17,111.92,108.01,224.43,4749,Coal,13.61,4639.43
